Gene,725,728,732,737,738,740,743,744,746,753,757,759,761,763,764,771,777
Xkr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl15,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0
Lypla1,0,1,1,3,9,0,0,0,9283,5,4,1,7,3,0,1,0
Tcea1,2810,5,2391,20,5116,107,12,1,4860,16,18830,19,25,21150,12,11203,5
Rgs20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,2,0,0,4,4,0,0,0,6441,4,4,8,5,2,1,8,0
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,1,2,6,7,27071,13,8,8,851,2,1,0,19,8,4,9873,4326
Fam150a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,5,6,1,0,1,2,6,0,0,1,8,0,0,5,0,0,1
Sntg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rrs1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Adhfe1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2610203C22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mybl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vcpip1,2,0,0,0,3,6.5,3,3,3,0,1,0,2,12.5,1,0,9
1700034P13Rik,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,2
Sgk3,0,4,2,0,2,3,0,0,2294,3679,5,1,0,2,2,0,1
Mcmdc2,0,0,0,0,29,0,52,0,0,0,103,1,77,88,2,0,0
